Input1,Input2,Input3,Input4,Output
25862.32,24745.84,41,48,25564.67
25862.32,25243.55,48,34.8,25564.67
2351.12,211.2581,25,59,25564.67
913.0183,8675.903,23,0,14265.97
0,0,30,55.5,0
1806.444,7114.742,22,33,0
5940.497,2739.194,44,26,2167.825
2447.124,3267.339,17,24.241,7942.78
331.1161,0,23,30,594.0461
25168.74,22651.16,47,60,24401.7
0,0,54,26,0
11408.81,3709.548,49,29,19136.56
23742.4,25243.55,36,35,25564.67
24951.26,23277.77,33,55,25564.67
19386.95,25207.74,43,3,22579.66
17235.67,18397.35,37,50,0
16536.21,16605.24,48,0,16713.09
0,0,54,0,0
92.08554,0,28,45,626.5561
19620.1,20361.34,35,36.7,15347.67
14696.46,3134.855,55,85,0
22308.21,21521.47,53,30,10159.37
19888.52,17756.42,25,14,14422.61
18691.41,15543.58,30,28,22984.56
12764.62,9442.161,44,43,6224.184
25862.32,15217.74,44,25,25564.67
3814.692,5234.903,20,44,5021.315
17147.5,12747.1,49,58,12683.33
5619.177,5449.742,55,37,23559.39
25862.32,25243.55,51,52,25564.67
9692.493,16012.65,24,35,7326.568
25055.1,25243.55,54,40,22154.08
17135.75,1031.226,32,0,0
2298.22,1786.742,19,0,11607.54
0,0,36,0,0
0,0,55,99.999,0
8679.552,17666.9,25,0.75,17465.25
0,8414.516,26,45,22867.82
5060.786,5182.984,19,0.8,16382.08
25862.32,25243.55,52,23,23290.45
4335.857,4687.065,19,38,21407.82
43.10387,0,17,35,14911.74
10595.71,1462.694,23,44,11861.71
25862.32,25243.55,44,0,25564.67
13095.74,4998.581,28,40,9376.175
17911.62,23684.18,49,7,9464.839
14522.09,8738.565,54,4.2,8486.584
5656.403,0,22,99.999,3895.287
25862.32,25243.55,33,30,25564.67
20468.46,6205.258,40,55,22680.15
25862.32,20522.47,47,0,24505.14
9792.415,2169.871,21,65,14998.92
0,0,17,40,1384.63
0,1346.323,16,36,6705.923
15435.1,12927.92,40,42,13061.63
25241.23,25243.55,36,52,25564.67
25862.32,25243.55,51,25,25564.67
25062.94,25166.56,46,0,25097.71
23421.08,25243.55,33,0,18505.57
24771.01,21333.48,28,23,14323.6
14267.38,12829.45,27,0,18693.24
25862.32,25243.55,33,40,21944.24
16822.26,19978.21,26,51,20015.81
16103.21,8922.968,24,65,16470.74
16450,18300.68,28,9,23494.37
23912.85,23274.19,36,0,25378.48
21473.56,22060.35,42,32,23426.4
0,0,16,50,1399.407
22995.91,16304.47,53,20,0
17329.71,16193.47,52,0,20247.81
0,0,22,0,0
25862.32,25243.55,55,37,25564.67
9927.605,13396.98,26,53,10757.85
2400.102,0,38,20,0
14328.12,3453.532,43,9.2,18781.9
18660.06,16768.16,55,0,19438.02
24083.31,22758.58,49,0,25232.18
9578.855,15727.98,20,30.8,18666.64
0,0,18,51.576,6478.353
25862.32,25243.55,31,0,25564.67
25862.32,25243.55,54,13.347,25564.67
20676.14,4072.984,28,11.34,17289.4
18979.42,20959.31,24,57,17657.35
18432.78,6778.161,21,76.685,9376.175
24163.64,20937.82,39,0,25564.67
23569.98,21926.08,28,0,25564.67
25862.32,25243.55,40,27,23653.97
22306.25,18866.42,38,7,22192.5
0,520.9839,16,19,9925.889
0,0,43,10,0
24812.15,23202.58,49,5,21153.66
19316.41,18626.52,28,0,20002.51
15341.06,14904.44,22,5,25564.67
7455.01,8512.984,39,0,9862.347
21062.12,24824.61,27,59,12514.87
15658.46,8115.532,21,0,15937.28
25862.32,25243.55,48,31,23724.9
25862.32,25243.55,30,0,25564.67
11510.69,8185.355,20,60,10026.37
0,630.1935,20,45,13858.12
658.3136,1432.258,18,30,0
5817.063,18105.53,23,45,8876.704
18303.47,13875,33,17,12640.47
21610.71,21537.58,31,37,25564.67
4700.281,0,28,35,731.4747
0,0,30,12,0
172.4155,272.129,23,68,582.2243
10384.11,11637.1,38,66,15959.45
18826.59,21573.39,37,30,18147.96
658.3136,630.1935,16,0,5127.711
0,2474.226,18,29.5,0
19978.64,19203,47,99.999,23970.2
0,3992.419,17,0,10248.03
17241.55,15717.24,35,54,18050.43
1250.012,0,19,40,8199.905
18904.97,18938.03,36,42,10997.24
0,0,41,65,0
0,0,54,14,0
25862.32,25243.55,51,63,25564.67
25862.32,25243.55,55,60,25564.67
1657.54,5129.274,29,0,8808.728
25862.32,25243.55,46,28,25564.67
25862.32,25243.55,30,43,25564.67
23039.02,22575.97,28,21,23093.91
24196.95,22110.48,48,52,21899.91
20834.84,19444.69,26,36,21891.04
25862.32,25243.55,32,20,23587.47
0,0,50,35,0
11207.01,12424.84,20,28,13012.86
11647.84,14832.82,21,44,20666.01
4298.631,8797.645,20,9.999,8962.412
14819.89,15457.65,32,30,12033.13
0,0,46,18,0
2360.916,1752.726,18,27,2748.571
22355.23,21793.6,51,41.2,3250.998
25862.32,25243.55,32,52,25564.67
8375.866,10607.66,26,30,4047.493
1058.004,0,24,33,9436.762
24001.02,23990.32,46,46,3923.364
0,0,21,49,20668.96
25033.55,25243.55,32,40,25564.67
25862.32,9657,30,7,7725.555
5364.473,8772.581,25,40,25564.67
20754.51,19199.42,51,0,22566.36
7249.287,9968.516,21,10.4,16627.38
25862.32,25243.55,34,9,25564.67
25862.32,25243.55,29,20,25564.67
9051.813,4978.887,52,13,0
8489.503,10167.24,21,32,0
3520.802,4336.161,17,65,0
14892.39,13348.65,50,37,10791.84
1890.692,1369.597,21,30,16685.01
21365.8,21023.76,49,0,25045.99
0,0,23,22,0
946.3259,1378.548,17,0,0
12688.21,12655.79,52,25,9377.653
8889.193,12297.73,47,6,17076.61
8426.807,17034.92,24,22,25279.47
0,0,29,26,0
6297.084,4253.806,49,0,10169.71
25862.32,25243.55,55,0,564.4916
25525.33,25243.55,28,14,25564.67
3871.511,4916.226,19,30.4,1687.564
25803.54,25243.55,35,0,25564.67
20572.3,18916.55,31,17,15102.37
25862.32,25243.55,44,42,25564.67
24312.54,24692.13,54,80,0
25862.32,25243.55,37,45.806,25564.67
11978.96,10460.85,46,0,8331.422
18107.54,14136.39,29,31.5,16046.63
16109.09,14002.11,55,0,14682.69
15956.27,17423.42,22,32,22739.26
0,309.7258,18,69,16760.37
25862.32,25243.55,32,51.5,25564.67
101.8819,0,51,40,0
25862.32,14965.31,49,0,24521.39
25862.32,25243.55,27,40.059,25564.67
10147.04,10546.79,19,59.381,5906.473
25862.32,25243.55,38,40,25564.67
23360.34,22221.48,40,47,25564.67
6344.106,6719.081,21,90,25012
25862.32,25243.55,29,40,25564.67
25862.32,25243.55,39,55,0
25862.32,25243.55,39,38,25564.67
9580.815,14881.16,34,45,25564.67
25862.32,21503.56,26,30,0
25862.32,25243.55,40,0,25564.67
2188.501,4937.71,31,0,2358.452
25862.32,25243.55,28,0,25564.67
0,1033.016,17,27,6345.358
21689.08,21542.95,35,0,21033.96
18632.63,24520.26,34,29.74,0
25862.32,17681.23,44,80,20612.81
25276.5,22241.18,54,41,25564.67
25860.36,25243.55,30,0,25564.67
0,0,39,34.975,0
20901.46,20728.35,29,18.076,24746.01
8656.041,5147.177,25,10.2,10666.23
20868.15,18741.1,42,0,22304.8
14657.27,18250.55,48,0,17763.75
17055.42,14986.79,25,40,0
25862.32,25243.55,49,50,25564.67
10674.09,9964.935,38,0,10388.42
25862.32,25243.55,38,0,25564.67
25862.32,25243.55,31,26,25564.67
25862.32,25243.55,41,9.9,25564.67
17204.32,11638.89,25,0,25564.67
7025.931,7435.21,48,26,0
6447.947,15266.08,21,0,11804.08
266.4603,1047.339,20,47,10700.22
11322.6,6228.532,54,36.56,1324.043
25133.47,19548.53,41,26,25564.67
11926.06,2365.016,49,0.4,1907.745
10344.93,11287.98,46,42,13003.99
0,386.7097,18,0,16559.4
25862.32,22429.16,30,52,22366.87
7161.12,15704.71,39,10,16880.07
646.558,0,17,63,9438.24
16067.95,12421.26,28,12,21403.39
12860.63,13210.79,29,50.96,8612.19
25862.32,25103.9,39,30,24562.77
14829.69,15804.97,38,0,16763.33
12304.2,11995.16,29,2,12548.85
22948.89,20875.16,39,0,21966.41
327.1976,0,18,0,964.9555
0,0,46,75,0
101.8819,0,17,99.999,474.3502
18368.13,16381.45,47,0,25564.67
989.4297,4687.065,24,99.999,1028.498
25862.32,25243.55,30,42,25564.67
10971.89,5806.016,42,0,9241.702
23569.98,20694.34,27,6,25564.67
25862.32,0,50,27,25564.67
20507.65,22004.85,39,0,23498.81
23411.28,0,32,39.7,0
0,0,39,35,0
11828.09,9146.758,35,17,7313.269
13162.35,13454.27,37,32,13402.98
3136.786,4090.887,52,24.289,0
0,0,40,54.045,0
462.387,1469.855,29,25.5,3935.186
0,1228.161,17,31,5380.402
25862.32,25243.55,43,17,0
0,0,51,29,0
8060.424,13151.71,20,0,16512.12
10866.09,13345.06,52,60.5,13197.58
16303.06,14752.26,43,33,11965.15
19383.03,21131.18,55,0,21251.19
13019.33,10566.48,31,20,10446.05
16005.25,10339.11,29,0,12599.1
12923.32,7290.194,26,0.32,11323.82
19567.2,19460.81,43,9.5,24143.1
0,408.1935,18,0,21608.8
21434.38,23378.03,38,0,21710.76
19202.77,19437.53,54,14.12,20215.3
403.609,10664.95,26,19.261,11684.38
23187.92,24692.13,41,0.4,25277.99
76.41141,0,43,80,0
13217.21,14344.06,24,45,14545.26
10560.45,11606.66,45,13,12723.23
25862.32,25243.55,45,51,25564.67
19678.88,19707.87,32,20,23389.46
10188.19,15602.66,42,0,0
8119.202,4687.065,34,0,20658.62
9964.831,9096.629,30,40,8253.103
1573.291,0,26,36,3700.227
0,5714.71,28,18.5,1870.802
22719.66,18823.45,27,34,25564.67
22619.74,21077.47,37,25,19964.09
17317.96,25243.55,33,60,25564.67
139.1079,760.8871,16,0,5829.631
18256.45,11934.29,46,33,14138.89
17063.25,16266.87,41,3,17842.07
25862.32,25243.55,46,25,25564.67
19641.65,20252.13,50,40,25564.67
18146.73,16614.19,49,40,13434.01
25862.32,25243.55,34,20,25564.67
5770.041,8817.339,55,34,22740.73
0,0,16,57,7322.135
24424.22,21163.4,39,80,25564.67
16996.64,13833.82,32,45,0
0,0,46,23.14,0
3009.434,12954.77,33,40,398.9862
25862.32,25141.5,38,0,22915.11
838.5662,0,51,8.5,0
9668.982,10161.87,31,22,0
0,0,47,30,0
875.7923,2347.113,19,0,962
0,1663.21,23,2,3583.487
8987.157,10666.74,45,35,8096.464
16391.23,16977.63,26,35,18272.09
3638.358,3483.968,36,15,4588.341
14600.46,9078.726,28,17,17330.78
21436.34,22703.08,40,67.6,21286.65
13728.58,15230.27,32,11,16531.33
23965.75,24187.26,39,24,25477.48
13665.89,12310.26,42,0,25564.67
25862.32,24650.95,52,0,24883.44
0,0,48,23,0
13021.29,15190.89,20,30,19763.12
20464.54,3614.661,28,21,15928.41
24247.89,25243.55,25,38,25564.67
18125.18,17883.53,52,40,1885.579
7413.866,8409.145,21,53,20841.86
21299.19,19009.65,34,35,18572.07
12490.33,12979.84,27,28.6,18573.55
23844.28,5030.806,44,11,0
0,0,16,0,8733.364
8032.994,3881.419,44,19,3104.704
3902.859,882.629,37,0,2365.84
14561.27,5465.855,31,35,19073.02
11692.9,757.3065,23,18.624,15895.9
14012.68,15785.27,27,0,23074.7
18095.79,16526.47,45,22,16404.24
0,0,48,60,0
15009.94,15418.26,24,16,18557.29
2539.21,6647.468,20,15.365,3088.449
0,0,31,0,0
13223.09,12251.18,29,35,14647.23
5523.173,0,24,0,5040.525
10352.77,4506.242,45,4,9088.018
468.2648,0,16,30,3383.994
20109.91,23442.48,26,0,22646.16
16265.83,15380.66,25,0,16492.91
25862.32,25243.55,51,50,25564.67
22741.21,25243.55,38,6,24151.96
19198.86,19194.05,32,9,0
11620.41,25243.55,47,12,25564.67
25862.32,25243.55,46,20,25564.67
10834.75,23499.77,23,0,6462.098
12680.37,9481.548,22,40,9949.533
19516.26,3210.048,24,15.6,20043.88
23301.56,21260.08,35,22,25272.08
25862.32,25243.55,32,0,25560.24
25862.32,23539.16,37,0,25564.67
4286.876,3022.065,29,29,15697.89
25862.32,25243.55,49,18.2,0
12719.56,14016.44,43,50,25564.67
25862.32,15273.24,54,26.624,24930.73
13256.4,11209.21,23,22,6565.539
5162.668,4633.355,18,13,5579.896
17149.46,17638.26,47,22.5,21103.41
3495.332,30.43548,19,30,22655.03
0,0,31,13.2,22199.89
14141.99,9340.113,27,0,19251.82
7400.151,3944.081,22,33,14523.1
25862.32,25243.55,39,51,25564.67
25862.32,25243.55,30,70,23875.63
15403.76,16424.42,38,35,14045.79
0,0,29,62.5,0
14817.93,17299.89,26,44,15316.64
9529.874,19788.44,26,48,25564.67
3812.733,5401.403,18,40,20488.68
11953.49,2314.887,30,55,21876.26
25862.32,22382.61,33,99.999,25564.67
4633.666,12668.32,52,52,21520.13
4678.729,8360.806,25,70,7474.341
7494.196,0,23,25,4715.425
10305.74,14725.4,21,50,25564.67
18916.72,16182.73,44,40,21121.15
16886.92,20391.77,32,37,6561.106
0,524.5645,34,26,0
22878.36,24045.82,27,29,25564.67
21812.52,17532.63,26,40,24432.73
23258.46,16154.08,26,46,21613.23
0,5508.823,40,99.999,10948.48
12844.95,0,27,63,25564.67
23552.35,22713.82,34,30,23274.19
6073.727,537.0968,46,40,0
25862.32,25243.55,49,19,25564.67
25862.32,22060.35,55,9,1536.836
25862.32,25243.55,33,52,25564.67
25862.32,25243.55,45,32,25564.67
4038.049,9687.435,29,68,7211.306
0,0,28,38,0
11301.05,14791.65,24,4,25564.67
8646.244,10639.89,21,68.7,16701.27
6636.037,10203.05,23,0,17980.98
25862.32,20565.44,49,0,25564.67
17459.03,15171.19,45,35,25564.67
13326.93,4636.935,48,45,0
25476.35,22674.44,50,65,24109.11
25862.32,13178.56,52,10,22616.61
25862.32,19657.74,45,16.8,14500.93
20354.82,18243.39,50,43,20481.29
2356.998,4620.823,19,13.7,3060.372
0,1226.371,17,0,4617.896
25862.32,25243.55,39,22,25564.67
5638.77,8794.065,22,23.8,25564.67
12384.53,13987.79,20,20,24576.07
22077.02,8854.935,25,0,0
14475.06,17230.06,23,50,25564.67
3007.475,134.2742,23,47,20676.35
4196.749,2042.758,25,0,4106.602
4672.851,2588.806,23,29.99,1918.089
25415.61,25243.55,29,26,25564.67
25862.32,21249.34,43,11.648,25564.67
7676.407,11902.06,19,25,25564.67
2404.02,12136.6,19,45,8074.298
12690.17,15930.29,45,20,25564.67
0,0,17,0,4193.788
10627.06,17052.82,31,0,0
3299.405,0,45,20,31.03226
25862.32,25243.55,46,30,25564.67
25862.32,25243.55,36,99.999,25564.67
20209.84,25243.55,25,99.999,22887.03
0,11094.63,27,99.999,25564.67
25862.32,25243.55,53,35,0
25862.32,25243.55,26,15,25564.67
25862.32,25243.55,40,0,19002.09
20926.93,19192.26,35,11.746,20136.98
25862.32,23404.89,28,65,19736.52
10105.9,10826.08,23,30,8062.476
14721.93,15846.15,22,30,25564.67
25862.32,23122.02,37,83,25564.67
25862.32,25243.55,46,42,25564.67
8614.896,4223.371,21,0,0
16657.69,6497.081,26,25,20799
25838.81,22923.29,38,66,25564.67
25862.32,25243.55,36,27,25564.67
21700.84,21609.19,26,44,0
4616.033,608.7097,21,33,11221.86
6177.568,2350.694,51,174.999,10131.29
2690.073,0,20,99.999,3521.422
0,272.129,21,90,5990.704
19018.6,18159.24,26,47,20405.93
25862.32,25202.37,21,90,20269.98
25862.32,25243.55,36,90,25564.67
25862.32,25243.55,39,0,3855.389
0,0,24,12,0
12098.47,12102.58,45,3,0
19500.58,16605.24,27,45.82,14330.99
25862.32,25243.55,33,43.677,25564.67
521.165,2631.774,26,50,16294.89
4222.22,751.9355,27,30,0
23481.81,17919.34,31,6,21326.55
3797.059,19344.44,39,12,868.9032
10807.32,11866.26,37,14,8918.08
22878.36,20137.55,54,38,17918.91
3362.102,0,27,24.5,9747.084
13217.21,14777.32,29,32.5,25564.67
20736.88,23218.69,27,28.2,25564.67
19202.77,13166.03,35,50,25564.67
0,0,33,78,0
0,0,17,43,0
33.30754,1312.306,20,40,12299.12
25862.32,25243.55,39,48,25564.67
25862.32,16581.97,51,0,25564.67
1202.99,0,28,90,19516.33
22247.47,16374.29,47,15,15860.44
0,0,29,0,0
16291.3,19308.63,36,45,0
22874.44,20817.87,35,48,22996.38
25862.32,25243.55,49,28.6,25564.67
23822.73,8264.129,33,48,25564.67
20376.37,18153.87,25,16,23689.43
16363.8,10577.23,34,21,25526.25
17249.38,14882.95,43,34,11941.51
25862.32,25243.55,49,0,25564.67
0,2450.952,19,77,10185.97
0,0,16,33,13456.18
25862.32,25243.55,45,45,25564.67
3154.42,6835.452,23,22,23312.61
17670.63,19817.08,24,0.21,25564.67
13264.24,4388.081,30,50,25564.67
25862.32,25243.55,45,0,25564.67
0,1050.919,17,40,13948.26
25862.32,25243.55,27,99.999,25564.67
5493.784,263.1774,19,58,9741.174
19173.38,12313.84,48,85,25564.67
25862.32,25243.55,32,60,0
25862.32,22806.92,40,40,25564.67
15821.08,17362.55,24,80,0
15382.2,14961.73,30,30.15,5343.459
8052.587,7236.484,19,38,20321.7
10599.63,864.7258,22,12,25564.67
25787.87,25243.55,28,55,25564.67
21173.8,22463.18,35,7.8,19987.73
19467.27,18798.39,23,5,20176.88
4335.857,5181.194,25,19.5,12418.81
18863.82,18689.18,55,2,14601.42
4715.955,6749.516,31,35,6685.235
8477.747,19319.37,26,23.288,25037.12
11167.82,24015.39,24,36,25564.67
0,0,48,40.775,0
25862.32,13819.5,30,0,0
19359.52,10450.11,31,0,25564.67
7100.383,19654.16,19,33,25564.67
25862.32,24847.89,27,23,25564.67
23327.03,22667.27,54,25,22021.08
22564.88,19673.85,43,28,23218.04
3275.894,2681.903,18,50,14772.83
6630.159,7141.597,23,99.999,9088.018
23918.73,24572.18,40,99.999,25564.67
24302.75,19446.48,30,60,25564.67
0,420.7258,33,0,0
25862.32,25243.55,29,70,25564.67
0,3908.274,24,10.5,914.7127
12970.35,16660.74,24,35,25564.67
0,0,30,35,0
25862.32,25243.55,26,31.5,25564.67
25654.64,25243.55,41,32,25564.67
25862.32,25243.55,48,26,25564.67
25862.32,25243.55,34,2.4,25564.67
0,288.2419,28,0,0
21514.71,21469.55,30,0,22140.78
17225.87,19999.69,29,35,22041.77
14143.95,5729.032,25,18,17089.91
25862.32,25243.55,28,2.405,25564.67
19792.51,3671.952,31,40,17651.44
25670.31,24090.58,55,37,24908.56
25013.96,24577.55,46,35,25337.1
23283.93,23897.23,44,16,22018.13
13152.56,12854.52,35,24.284,19241.48
21875.21,22375.45,39,0,23306.7
18828.55,13427.42,29,25,25564.67
25862.32,25243.55,31,28,25564.67
8989.116,5059.452,35,0,0
8076.098,8810.177,33,0,8130.452
1643.825,1933.548,19,0,0
8705.022,3983.468,27,48,6054.246
2882.081,3507.242,24,22,8955.023
19102.85,17829.82,22,0,25564.67
16216.85,19544.95,27,7.038,23116.08
0,17545.16,43,0,0
25270.62,21333.48,38,99.999,7246.771
0,2834.081,19,0,8604.802
25862.32,25243.55,29,55,25564.67
25862.32,25243.55,37,0,25564.67
0,306.1452,16,60,19089.27
10145.08,9896.903,54,4,0
11242.27,5174.032,38,25,0
23315.27,20205.58,35,35,21698.94
3046.66,1715.129,20,35,2837.235
2901.674,9535.258,55,99.999,0
19153.79,10716.87,28,99.999,0
10182.31,0,25,50,1195.481
0,0,30,37.9,0
25427.36,23764.74,38,40,25564.67
18160.44,17097.58,23,0,25564.67
14945.29,2101.839,34,60,20726.59
2061.149,1398.242,53,99.999,1167.404
19831.7,18835.98,42,38,19757.2
25862.32,25243.55,26,22,25564.67
23515.12,19380.24,32,26,21651.65
0,0,51,48.6,0
22000.61,19034.71,23,40,20451.74
0,0,33,29,0
0,0,35,79,11337.12
25862.32,25243.55,46,60,25564.67
14208.6,18742.89,47,0,0
3440.473,0,25,2.1,0
20484.13,8690.226,41,65,0
5229.283,0,20,50,15892.95
18479.8,20273.61,22,0,25564.67
19273.31,14838.19,29,4.5,18111.02
24702.44,22567.02,51,11,24800.69
25862.32,25243.55,44,30,25564.67
11967.2,2116.161,20,46.655,0
656.3544,0,18,0,11719.85
25862.32,25243.55,33,0,25564.67
25862.32,21109.69,27,33,25564.67
25862.32,25243.55,52,48,25564.67
0,15432.58,24,0,341.3548
19030.36,18300.68,41,16.382,19537.02
23793.34,10638.1,28,25,25564.67
423.2016,5061.242,17,2.405,3592.353
19322.29,25243.55,38,0,25564.67
25862.32,25243.55,45,4.506,16002.3
8272.024,20601.24,40,0.125,20841.86
24363.48,25064.52,28,33,25564.67
25862.32,25243.55,26,4,8686.077
18326.98,18186.1,27,0,19356.74
20999.42,18855.68,28,99.999,24992.79
21918.32,24556.06,28,27.527,20666.01
21326.62,20816.08,53,0,19800.06
24522.18,23762.95,54,51,24027.83
25284.34,24688.55,33,47,25564.67
0,0,36,26.689,2365.84
25862.32,25243.55,31,29.381,25564.67
20605.61,18613.98,30,0,19541.46
0,3399.823,41,55,9999.776
19659.28,17332.11,37,28,9325.932
3268.057,1575.484,18,18,7438.876
12841.03,9366.968,24,27.18,20516.76
1030.574,470.8548,21,58,1223.558
0,1718.71,55,0,824.5714
23307.44,24269.61,37,32.2,9949.533
25862.32,25243.55,53,42,25564.67
22182.82,25243.55,28,20,25564.67
3904.819,375.9677,20,15.5,1938.777
25862.32,25243.55,35,0,25564.67
25862.32,25243.55,43,1.5,25564.67
0,0,18,55,0
25862.32,25243.55,29,66,25564.67
25862.32,25243.55,26,3.175,25564.67
3136.786,7202.468,46,0,11180.48
14114.56,12741.73,27,40,15653.56
2938.9,1217.419,26,6,14570.38
17339.51,15344.85,28,55,20447.3
25862.32,15246.39,35,0,25564.67
22713.78,25243.55,29,43,0
25862.32,10525.31,49,37.5,25564.67
0,0,17,99.999,1609.244
0,0,34,0,0
22682.43,20355.97,22,43,19834.05
0,0,16,34,8720.065
15384.16,13037.13,21,52,18523.3
13381.79,8550.581,32,25,0
25860.36,5295.774,55,35.447,5646.393
0,0,16,55,14231.98
23417.16,15710.08,39,40,0
15303.83,6932.129,29,40.354,24290.87
25862.32,22894.65,25,30,25564.67
17743.12,11928.92,25,50,17800.69
16259.96,5217,29,79.6,13575.87
15842.63,3804.435,30,50,25564.67
17472.74,17804.76,24,35,19466.09
10103.94,9554.952,25,10,15195.46
0,0,51,51,0
834.6477,510.2419,17,36,5788.255
15525.23,429.6774,43,4.3,6632.037
8634.489,10747.31,41,27,47.28725
0,0,18,61,0
18662.02,11121.48,23,0,6470.965
13861.81,4296.774,36,60.78,10704.65
14177.25,12892.11,22,45,9571.235
0,2708.758,18,42,8520.571
14574.99,11697.97,27,13,9018.565
17174.93,15011.85,50,14,18580.93
15926.88,4389.871,29,46.413,10754.89
25862.32,23370.87,52,38,22096.45
11426.44,13183.94,22,25,6296.593
